pfa_code,pfa_name,msoa_count,lsoa_count,population,total_capacity,pcso_fte,regular_police_staff_fte,fte_per_msoa,msoas_per_100_fte,population_per_fte
E23000034,"London, City of",1,6,11457,207.0,3.0,204.0,207.0,0.4830917874396135,55.34782608695652
E23000001,Metropolitan Police,1001,4980,8845554,13762.0,1263.0,12499.0,13.748251748251748,7.273652085452696,642.7520709199244
E23000005,Greater Manchester,353,1688,2891156,3578.0,265.0,3313.0,10.135977337110482,9.865846841811067,808.036892118502
E23000027,Hertfordshire,154,713,1205137,1545.0,127.0,1418.0,10.032467532467532,9.967637540453074,780.0239482200648
E23000010,West Yorkshire,301,1404,2376278,2961.0,476.0,2485.0,9.837209302325581,10.16548463356974,802.5254981425194
E23000007,Northumbria,188,927,1465242,1824.0,78.0,1746.0,9.702127659574469,10.307017543859649,803.3125
E23000008,Durham,79,396,637117,766.0,122.0,644.0,9.69620253164557,10.313315926892951,831.7454308093995
E23000013,Cleveland,75,359,579710,725.0,67.0,658.0,9.666666666666666,10.344827586206897,799.6
E23000004,Merseyside,185,923,1441162,1776.0,165.0,1611.0,9.6,10.416666666666668,811.4650900900901
E23000014,West Midlands,357,1719,2948513,3353.0,285.0,3068.0,9.392156862745098,10.647181628392484,879.3656427080226
E23000021,Leicestershire,127,634,1136660,1132.0,113.0,1019.0,8.913385826771654,11.219081272084805,1004.1166077738516
E23000019,Nottinghamshire,137,684,1162478,1204.0,132.0,1072.0,8.788321167883211,11.378737541528238,965.5132890365448
E23000011,South Yorkshire,171,860,1390381,1471.0,96.0,1375.0,8.602339181286549,11.624745071380014,945.194425560843
E23000002,Cumbria,64,319,502979,549.0,34.0,515.0,8.578125,11.657559198542804,916.1730418943533
E23000016,West Mercia,171,804,1314498,1431.0,192.0,1239.0,8.368421052631579,11.949685534591195,918.5870020964361
E23000012,Humberside,121,591,942823,1012.0,137.0,875.0,8.363636363636363,11.956521739130435,931.6432806324111
E23000024,Norfolk,113,552,925695,939.0,0.0,939.0,8.309734513274336,12.034078807241746,985.8306709265175
E23000017,Warwickshire,67,354,607713,556.0,59.0,497.0,8.298507462686567,12.050359712230216,1093.0089928057555
E23000033,Sussex,202,1029,1722184,1669.0,231.0,1438.0,8.262376237623762,12.103055721989216,1031.8657878969443
E23000029,Thames Valley,298,1485,2551808,2461.0,249.0,2212.0,8.258389261744966,12.108898821617228,1036.8988216172288
E23000018,Derbyshire,130,651,1067075,1061.0,153.0,908.0,8.161538461538461,12.25259189443921,1005.7257304429784
E23000003,Lancashire,190,945,1551393,1509.0,176.0,1333.0,7.942105263157894,12.591119946984758,1028.0934393638172
E23000036,Avon and Somerset,215,1038,1766187,1707.0,214.0,1493.0,7.93953488372093,12.595196250732279,1034.6731107205624
E23000006,Cheshire,140,678,1109191,1100.0,85.0,1015.0,7.857142857142857,12.727272727272727,1008.3554545454546
E23000020,Lincolnshire,88,435,775864,685.0,37.0,648.0,7.784090909090909,12.846715328467154,1132.6481751824817
E23000015,Staffordshire,141,697,1146302,1089.0,163.0,926.0,7.723404255319149,12.947658402203857,1052.6189164370983
E23000037,Gloucestershire,76,393,652666,586.0,90.0,496.0,7.7105263157894735,12.969283276450511,1113.7645051194538
E23000025,Suffolk,90,449,768719,675.0,24.0,651.0,7.5,13.333333333333334,1138.842962962963
E23000009,North Yorkshire,101,500,828011,750.0,102.0,648.0,7.425742574257426,13.466666666666665,1104.0146666666667
E23000028,Essex,215,1111,1877531,1580.0,84.0,1496.0,7.348837209302325,13.60759493670886,1188.310759493671
E23000031,Surrey,151,719,1217048,1099.0,64.0,1035.0,7.2781456953642385,13.739763421292084,1107.4140127388534
E23000035,Devon & Cornwall,232,1066,1810393,1680.0,133.0,1547.0,7.241379310344827,13.80952380952381,1077.6148809523809
E23000022,Northamptonshire,93,443,792755,669.0,76.0,593.0,7.193548387096774,13.901345291479823,1184.985052316891
E23000038,Wiltshire,91,447,751759,643.0,77.0,566.0,7.065934065934066,14.152410575427682,1169.1430793157076
E23000026,Bedfordshire,76,417,716621,523.0,37.0,486.0,6.881578947368421,14.531548757170173,1370.2122370936902
E23000030,Hampshire,247,1231,2019136,1684.0,153.0,1531.0,6.817813765182186,14.667458432304038,1199.0118764845606
E23000039,Dorset,96,463,785932,629.0,47.0,582.0,6.552083333333333,15.262321144674084,1249.4944356120827
E23000023,Cambridgeshire,98,516,907715,639.0,20.0,619.0,6.520408163265306,15.336463223787167,1420.5242566510171
E23000032,Kent,221,1107,1877417,1387.0,85.0,1302.0,6.276018099547511,15.933669790915644,1353.5811103100216
