lsoa_code,pop,econ_score,infrastructure_score,health_score,percent_working,percent_child,percent_old
E01000001,1795,0.0135,26.7663333333333,-1.771,0.695264623955432,0.083008356545961,0.289693593314763
E01000002,1671,0.014,16.9206666666667,-1.549,0.792339916217834,0.0484739676840215,0.231597845601436
E01000003,1896,0.0855,18.0556666666667,-0.292,0.774789029535865,0.0717299578059072,0.227848101265823
E01000005,1737,0.1575,27.0566666666667,0.436,0.833621185952792,0.101899827288428,0.0921128382268279
E01000006,1837,0.2315,31.0276666666667,-0.372,0.685900925421884,0.216113228089276,0.122482308111051
E01000007,2961,0.336,25.8486666666667,0.464,0.700439040864573,0.254981425194191,0.0425531914893617
E01000008,1761,0.351,33.859,0.372,0.639409426462237,0.302101078932425,0.0687109596819989
E01000009,1859,0.2895,40.494,0.29,0.682625067240452,0.223776223776224,0.140935987089833
E01000011,1719,0.2845,45.0073333333333,0.176,0.68935427574171,0.225130890052356,0.109947643979058
E01000012,2336,0.337,34.6806666666667,-0.156,0.619434931506849,0.313356164383562,0.0629280821917808
E01000013,1869,0.2825,28.7843333333333,0.19,0.643124665596576,0.250401284109149,0.126270733012306
E01000014,1780,0.242,25.8213333333333,0.58,0.64438202247191,0.238202247191011,0.149438202247191
E01000015,2357,0.3025,25.888,0.093,0.638099278744166,0.263894781501909,0.113703860840051
E01000016,1846,0.251,24.381,0.543,0.660888407367281,0.243770314192849,0.126760563380282
E01000017,1724,0.2955,28.0496666666667,0.584,0.645591647331787,0.234338747099768,0.162993039443155
E01000018,1757,0.2845,24.1456666666667,0.522,0.63915765509391,0.250426863972681,0.125782583949915
E01000019,1646,0.299,27.4173333333333,0.223,0.608748481166464,0.283110571081409,0.119684082624544
E01000020,2203,0.247,30.105,0.723,0.611438946890604,0.263731275533364,0.144802541988198
E01000021,1696,0.3235,33.0926666666667,0.707,0.647995283018868,0.27063679245283,0.107900943396226
E01000022,1445,0.2845,26.743,0.267,0.629065743944637,0.267128027681661,0.150173010380623
E01000024,1506,0.271,29.037,0.277,0.635458167330677,0.258300132802125,0.133466135458167
E01000025,1913,0.274,28.317,0.335,0.628332462101411,0.249346576058547,0.152117093570308
E01000027,2093,0.3045,25.3403333333333,0.509,0.590062111801242,0.290014333492594,0.13999044433827
E01000028,1810,0.326,23.3943333333333,0.956,0.595580110497238,0.253038674033149,0.166850828729282
E01000029,1938,0.151,25.291,-0.288,0.570175438596491,0.209494324045408,0.252837977296182
E01000030,2545,0.3115,25.446,0.542,0.596856581532416,0.312770137524558,0.0970530451866405
E01000031,1820,0.1825,24.866,-0.257,0.611538461538462,0.226373626373626,0.201098901098901
E01000032,2073,0.229,29.27,0.003,0.642064640617463,0.23251326579836,0.161601543656536
E01000033,1522,0.329,27.2136666666667,0.463,0.596583442838371,0.283180026281209,0.145203679369251
E01000034,1644,0.262,21.1946666666667,0.816,0.599148418491484,0.208637469586375,0.233576642335766
E01000035,1862,0.2525,28.677,0.548,0.629967776584318,0.214285714285714,0.178302900107411
E01000036,1436,0.225,26.8866666666667,0.279,0.666434540389972,0.211699164345404,0.154596100278552
E01000037,1733,0.184,18.851,-0.37,0.661281015579919,0.173687247547605,0.219849971148298
E01000038,1653,0.1765,21.3406666666667,-0.221,0.62129461584997,0.208711433756806,0.220810647307925
E01000039,1843,0.1735,17.4933333333333,-0.241,0.604991861096039,0.238198589256647,0.196961475854585
E01000040,1842,0.332,34.948,0.391,0.624864277958741,0.253528773072747,0.136807817589577
E01000041,1797,0.254,27.8586666666667,0.098,0.65164162493044,0.234835837506956,0.129660545353367
E01000042,1899,0.3635,30.58,0.303,0.610321221695629,0.291205897840969,0.110584518167457
E01000043,1568,0.216,33.43,0.026,0.665178571428571,0.209821428571429,0.167729591836735
E01000044,1973,0.2645,36.892,0.11,0.694880892042575,0.228585909782058,0.099341104916371
